VO_ID,Boss,Trigger,Condition,Priority,Cooldown_s,Interruptible,Subtitle,PerformanceDirection,Line
LEM_FT_001,Lemons,Fight Start,Boss intro / battle begins,High,0,No,"Okay, okay, easy one—just guess randomly! …No, not like that. Wow, you’re bad at this already.","Fast, squeaky, fake-helpful; sound delighted by the player’s confusion.","Okay, okay, easy one—just guess randomly! …No, not like that. Wow, you’re bad at this already."
LEM_FG_001,Lemons,First Guess,Player locks in their first guess,Medium,8,Yes,"Bold first move. Wrong in at least three interesting ways, but bold.",Play cheerful mockery; admiration is fake.,"Bold first move. Wrong in at least three interesting ways, but bold."
LEM_BR_001,Lemons,Bad Read,Player ignores peg feedback / repeats bad logic,Medium,10,Yes,"Oh wow, you looked at the pegs and learned absolutely nothing. That’s talent.","Sharper, faster, more personal.","Oh wow, you looked at the pegs and learned absolutely nothing. That’s talent."
LEM_GR_001,Lemons,Good Read,Player makes a smart adjustment from the previous clue,Medium,10,Yes,"Ugh, yes, that. See? I basically taught you that. You’re welcome.",Sound annoyed the player improved.,"Ugh, yes, that. See? I basically taught you that. You’re welcome."
LEM_MT_001,Lemons,Mechanic Trigger,Misleading banter / confidence scramble effect triggers,High,6,Yes,"I’m helping! If my help ruins you, that sounds like a personal sorting issue.",Delighted chaos; smile through the threat.,"I’m helping! If my help ruins you, that sounds like a personal sorting issue."
LEM_LG_001,Lemons,Low Guesses,Player reaches low-guess threshold,High,0,No,"Tick-tock, citrus clock! Maybe panic harder—it’s been working great.",Speed up slightly; make the panic playful.,"Tick-tock, citrus clock! Maybe panic harder—it’s been working great."
LEM_RT_001,Lemons,Retry,Player re-enters after a loss,High,0,No,Back already? Nice. I saved all my worst advice just for you.,Welcome them back like this is a party.,Back already? Nice. I saved all my worst advice just for you.
LEM_KO_001,Lemons,Boss Defeated,Player wins the fight,Critical,0,No,"What? No, no—that solution was clearly lemon-adjacent at best.","A petty, wounded denial.","What? No, no—that solution was clearly lemon-adjacent at best."
TMP_FT_001,Templefrist,Fight Start,Boss intro / battle begins,High,0,No,"The code does not bend for the impatient. Align your mind, or be broken by truth.","Slow, resonant, ceremonial.","The code does not bend for the impatient. Align your mind, or be broken by truth."
TMP_FG_001,Templefrist,First Guess,Player commits an opening hypothesis,Medium,8,Yes,A first offering. As shallow as the hands that shaped it.,Severe but not loud.,A first offering. As shallow as the hands that shaped it.
